epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,13357.5,1.12441,1.85453,1.43013,0.01294,1.32916,0.66601,0.60108,0.64884,0.45033,0.66139,0.59995,0.63575,0.39034,1.21536,2.18988,1.39364,0.01971,0,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675,0.0235402,0.00784675
89,13507.5,1.13564,1.856,1.43648,0.01307,1.32838,0.63628,0.62164,0.64185,0.44288,0.62845,0.62031,0.63066,0.38538,1.24588,2.16494,1.41066,0.02042,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
90,13657.2,1.13535,1.87292,1.45209,0.01317,1.34106,0.64112,0.61944,0.65326,0.45241,0.64165,0.61458,0.64166,0.39129,1.2254,2.15175,1.3728,0.02,0,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725,0.0233917,0.00779725
91,13806.6,1.13377,1.8509,1.44227,0.0131,1.32746,0.63765,0.62862,0.6451,0.44406,0.64562,0.62485,0.63596,0.38581,1.23554,2.19677,1.40373,0.02026,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
92,13956.5,1.1184,1.82512,1.41407,0.01276,1.296,0.64141,0.61956,0.64527,0.44811,0.63501,0.61379,0.63286,0.38943,1.22336,2.13427,1.39169,0.02011,0,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775,0.0232433,0.00774775
93,14106.3,1.11109,1.82775,1.42568,0.01265,1.31964,0.66039,0.60766,0.64214,0.4469,0.65554,0.60294,0.62867,0.39046,1.21294,2.12976,1.4048,0.02,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
94,14258,1.12466,1.84071,1.42216,0.01287,1.31658,0.63122,0.62603,0.64314,0.44803,0.6333,0.61074,0.62812,0.38711,1.21976,2.12816,1.40332,0.01978,0,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825,0.0230947,0.00769825
95,14410.7,1.12571,1.84622,1.41902,0.01291,1.31223,0.62199,0.62929,0.64638,0.45003,0.61753,0.62375,0.63403,0.39005,1.22291,2.15299,1.38541,0.01993,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
96,14560.2,1.11879,1.81919,1.41784,0.01289,1.2626,0.63239,0.63313,0.65463,0.45605,0.62624,0.62333,0.63554,0.39289,1.21204,2.14688,1.3875,0.01971,0,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
97,14710.6,1.11214,1.80681,1.38444,0.01285,1.29072,0.63049,0.63267,0.65029,0.45495,0.65506,0.60977,0.63625,0.39231,1.20809,2.15516,1.41296,0.01971,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
98,14860.6,1.11402,1.79695,1.37042,0.01297,1.30072,0.65485,0.63494,0.64927,0.45002,0.65117,0.6248,0.63487,0.39169,nan,nan,nan,nan,0,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925,0.0227978,0.00759925
99,15010.3,1.11645,1.81657,1.40668,0.01277,1.2711,0.63432,0.63957,0.64633,0.45201,0.631,0.63013,0.63479,0.39211,1.2263,nan,nan,0.0199,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
100,15160.5,1.09559,1.81157,1.36681,0.01256,1.2551,0.61843,0.63738,0.6498,0.45612,0.62476,0.63148,0.63913,0.39331,1.21376,2.14062,1.40458,0.01978,0,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975,0.0226492,0.00754975
101,15310,1.11103,1.80649,1.38016,0.01268,1.23592,0.64501,0.62608,0.64612,0.45723,0.65911,0.61471,0.63407,0.39337,1.20959,2.18355,1.38596,0.01953,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
102,15460.2,1.11795,1.80434,1.3687,0.0129,1.27018,0.63733,0.63988,0.65916,0.46309,0.65235,0.62854,0.65151,0.40287,1.21095,2.14611,1.39403,0.01981,0,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025
103,15610.1,1.10898,1.79684,1.36218,0.01279,1.25891,0.65009,0.63683,0.65804,0.46025,0.64598,0.63458,0.64811,0.39849,1.21092,2.15461,1.39036,0.01964,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
104,15759.7,1.1036,1.78388,1.36624,0.0126,1.27628,0.63748,0.64779,0.65478,0.45997,0.64206,0.6471,0.64643,0.39959,1.19074,2.12639,1.4125,0.01915,0,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075,0.0223522,0.00745075
105,15909.5,1.10879,1.79697,1.35839,0.01265,1.28017,0.65569,0.62483,0.66527,0.46532,0.6522,0.62397,0.65183,0.4058,1.19996,2.1457,1.35097,0.0195,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
106,16059,1.10132,1.80523,1.3639,0.01266,1.25414,0.65531,0.64143,0.66266,0.46316,0.64505,0.63974,0.6482,0.40228,1.21677,2.15727,1.35015,0.0196,0,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
107,16209,1.09946,1.7804,1.35051,0.0125,1.24784,0.65639,0.64105,0.66582,0.46359,0.64581,0.64286,0.65167,0.40549,1.22566,2.1592,1.35248,0.01977,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
108,16358.1,1.09664,1.77026,1.34691,0.01249,1.23506,0.66688,0.63751,0.66026,0.45989,0.66207,0.63556,0.64937,0.3991,1.22957,2.14532,1.3536,0.01987,0,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175,0.0220552,0.00735175
109,16508,1.08494,1.75916,1.32543,0.01234,1.24883,0.63841,0.65704,0.66518,0.46418,0.65502,0.64702,0.65604,0.40484,1.21842,2.16711,1.34577,0.01953,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
110,16657.3,1.10705,1.77536,1.34347,0.01247,1.22977,0.64264,0.66348,0.66392,0.46149,0.65696,0.64296,0.65119,0.40299,1.22612,2.16151,1.3587,0.01968,0,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225,0.0219067,0.00730225
111,16807.5,1.09442,1.77022,1.32048,0.01241,1.25197,0.65742,0.63644,0.66595,0.46355,0.65476,0.63082,0.65684,0.40295,1.22153,2.18752,1.35466,0.01971,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
112,16956.9,1.09431,1.75464,1.32657,0.01254,1.21793,0.65313,0.64062,0.66216,0.46394,0.66443,0.63675,0.65455,0.40158,1.21326,2.18345,1.35237,0.01936,0,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275,0.0217582,0.00725275
113,17107.2,1.09327,1.75968,1.32094,0.01247,1.21845,0.66388,0.63504,0.66118,0.46164,0.67079,0.62926,0.6505,0.40115,1.20103,2.17555,1.36912,0.01947,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
114,17257.1,1.0959,1.74831,1.31656,0.01254,1.20455,0.64437,0.6592,0.66916,0.46962,0.65083,0.65185,0.65936,0.40502,1.2018,2.17872,1.33058,0.0193,0,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325,0.0216098,0.00720325
115,17407.2,1.09523,1.74919,1.31546,0.01254,1.2154,0.65857,0.65082,0.66667,0.46969,0.65042,0.64848,0.65824,0.40434,1.20704,2.19108,1.34191,0.01939,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
116,17556.7,1.07306,1.73065,1.28022,0.01239,1.20804,0.66682,0.64586,0.6679,0.46989,0.66186,0.6413,0.65741,0.40688,1.21818,2.16822,1.34792,0.01949,0,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
117,17706.5,1.08276,1.74937,1.31985,0.01232,1.18815,0.65504,0.65005,0.66668,0.46887,0.66775,0.64121,0.65779,0.40988,1.21201,2.17057,1.34312,0.01935,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
118,17856.8,1.08676,1.73659,1.28458,0.01241,1.21317,0.64357,0.65862,0.66262,0.46722,0.64302,0.66148,0.6554,0.40851,1.20694,2.19416,1.35386,0.01939,0,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425,0.0213127,0.00710425
119,18007.3,1.08191,1.7505,1.30773,0.01233,1.21615,0.65186,0.65145,0.66722,0.46717,0.65289,0.64954,0.65664,0.40909,1.21035,2.18583,1.34377,0.01955,0,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
120,18156.7,1.07441,1.73289,1.29286,0.01219,1.18172,0.63937,0.64627,0.66117,0.4655,0.64117,0.64574,0.65506,0.40594,1.21756,2.2013,1.34816,0.01967,0,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475,0.0211642,0.00705475
121,18307.3,1.06642,1.69127,1.26263,0.01204,1.16321,0.66196,0.64253,0.65999,0.46738,0.66802,0.64899,0.65488,0.4099,1.19883,2.16971,1.33663,0.0194,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
122,18457,1.08464,1.72681,1.28802,0.01238,1.17834,0.64523,0.65682,0.66537,0.47196,0.64732,0.65768,0.6573,0.41049,1.19411,2.16995,1.34216,0.01915,0,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525,0.0210157,0.00700525
123,18608.1,1.0765,1.72407,1.27379,0.01215,1.17196,0.65872,0.64666,0.66522,0.47127,0.65731,0.65163,0.6568,0.41111,1.19474,2.18291,1.35378,0.01899,0,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
124,18758.6,1.07223,1.70072,1.27778,0.01222,1.1589,0.66937,0.65183,0.6752,0.47527,0.66933,0.64724,0.66239,0.41122,1.20637,2.18271,1.34635,0.01945,0,0.0208673,0.00695575,0.0208673,0.00695575,0.0208673,0.00695575,0.0208673,0.00695575
125,18908.4,1.07211,1.70799,1.25633,0.01228,1.15,0.67075,0.65325,0.67534,0.47261,0.67652,0.64122,0.66046,0.40983,1.21718,2.1978,1.33188,0.01944,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
126,19058.7,1.08183,1.73263,1.26951,0.0123,1.17626,0.68842,0.64467,0.67657,0.47721,0.67488,0.64759,0.66231,0.41178,1.20881,2.20242,1.3313,0.01927,0,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
127,19209.4,1.08284,1.71821,1.26148,0.01232,1.16729,0.67857,0.6472,0.67941,0.4774,0.67474,0.63741,0.66217,0.41308,1.19795,2.19332,1.32014,0.01912,0,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
128,19360.4,1.07717,1.69082,1.22944,0.01232,1.11555,0.65206,0.66084,0.67798,0.47911,0.64582,0.6565,0.66305,0.4106,1.19964,2.16152,1.30789,0.01916,0,0.0205703,0.00685675,0.0205703,0.00685675,0.0205703,0.00685675,0.0205703,0.00685675
129,19510.8,1.06306,1.69199,1.22907,0.01226,1.14279,0.65028,0.65838,0.67397,0.47448,0.65289,0.65158,0.65939,0.40898,1.2004,2.16156,1.34073,0.01912,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
130,19661.5,1.07552,1.71313,1.25304,0.01214,1.14152,0.65134,0.66246,0.67285,0.47669,0.6557,0.64784,0.65697,0.4089,1.19401,2.19701,1.34977,0.0191,0,0.0204217,0.00680725,0.0204217,0.00680725,0.0204217,0.00680725,0.0204217,0.00680725
131,19811.4,1.05948,1.70458,1.24727,0.01192,1.14826,0.66298,0.65785,0.67358,0.47533,0.68121,0.64699,0.66147,0.40923,1.19763,2.16696,1.34415,0.01923,0,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
132,19963,1.06972,1.71385,1.24493,0.01211,1.13499,0.64862,0.65775,0.67153,0.47468,0.67969,0.63325,0.65635,0.40722,1.21035,2.19073,1.34688,0.01938,0,0.0202732,0.00675775,0.0202732,0.00675775,0.0202732,0.00675775,0.0202732,0.00675775
133,20114.8,1.06535,1.67035,1.2274,0.01217,1.12189,0.66909,0.66187,0.67165,0.47436,0.67476,0.65505,0.6583,0.40778,1.21448,2.1725,1.33611,0.01941,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
134,20266,1.06556,1.68189,1.22635,0.01204,1.12493,0.67058,0.65315,0.67144,0.47298,0.67215,0.64868,0.65743,0.40715,1.21057,2.17908,1.34655,0.01942,0,0.0201248,0.00670825,0.0201248,0.00670825,0.0201248,0.00670825,0.0201248,0.00670825
135,20422.3,1.0507,1.67932,1.22871,0.01181,1.12719,0.65976,0.65299,0.66748,0.47062,0.65596,0.64209,0.65321,0.4053,1.21018,2.17925,1.36365,0.01933,0,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
136,20578.8,1.05527,1.68526,1.22187,0.01186,1.10386,0.68323,0.63408,0.66767,0.471,0.68515,0.62831,0.65619,0.40755,1.21385,2.1947,1.36596,0.01944,0,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
137,20729.6,1.05131,1.65327,1.21078,0.01211,1.10455,0.65571,0.65335,0.66881,0.47241,0.65259,0.64797,0.65557,0.40915,1.20617,2.16827,1.35537,0.01933,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
138,20881.6,1.05874,1.66912,1.20211,0.012,1.1068,0.68323,0.63516,0.66875,0.47562,0.68625,0.63241,0.65646,0.41049,1.20544,2.19543,1.33734,0.01928,0,0.0198277,0.00660925,0.0198277,0.00660925,0.0198277,0.00660925,0.0198277,0.00660925
139,21033.3,1.0592,1.68247,1.22472,0.01201,1.09787,0.68505,0.63796,0.66618,0.47392,0.67846,0.63616,0.6517,0.40582,1.19707,2.17331,1.34357,0.01908,0,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
140,21186.1,1.06385,1.68721,1.21089,0.01187,1.0968,0.68601,0.64422,0.67,0.47377,0.66937,0.64023,0.64975,0.40597,1.19338,2.20298,1.34823,0.01905,0,0.0196793,0.00655975,0.0196793,0.00655975,0.0196793,0.00655975,0.0196793,0.00655975
141,21337.7,1.05855,1.65046,1.18625,0.01187,1.08206,0.6842,0.64435,0.66387,0.47071,0.67698,0.63792,0.64973,0.40402,1.19383,2.2115,1.3562,0.01906,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
142,21488.9,1.05903,1.6501,1.19767,0.01193,1.09156,0.68329,0.632,0.66315,0.4709,0.6686,0.63614,0.6498,0.40362,1.19274,2.22123,1.35932,0.01901,0,0.0195307,0.00651025,0.0195307,0.00651025,0.0195307,0.00651025,0.0195307,0.00651025
143,21639.2,1.04891,1.63305,1.1791,0.0119,1.06965,0.70517,0.61397,0.66588,0.47162,0.65116,0.64953,0.65293,0.40619,1.19232,2.21186,1.35995,0.01906,0,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
144,21788.9,1.05728,1.65343,1.21609,0.01184,1.09146,0.69574,0.62606,0.66664,0.47195,0.66723,0.63762,0.65144,0.40549,1.18833,2.21591,1.36946,0.01897,0,0.0193823,0.00646075,0.0193823,0.00646075,0.0193823,0.00646075,0.0193823,0.00646075
145,21939.4,1.04342,1.64073,1.17912,0.01158,1.07046,0.65594,0.65559,0.6686,0.47451,0.67575,0.64229,0.65721,0.40731,1.18879,2.23214,1.36598,0.01904,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
146,22089.5,1.04859,1.65181,1.16684,0.01176,1.06274,0.6467,0.66827,0.66928,0.47568,0.68277,0.64089,0.65674,0.41008,1.18371,2.21594,1.36466,0.01883,0,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
147,22240.9,1.047,1.64764,1.16606,0.01186,1.06958,0.66766,0.65779,0.67178,0.47971,0.71085,0.62886,0.66039,0.41342,1.18954,2.23572,1.34666,0.01893,0,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
148,22392,1.06315,1.66763,1.18024,0.0119,1.08885,0.66393,0.67051,0.67609,0.48114,0.6651,0.6598,0.66279,0.41467,1.19836,2.23269,1.32899,0.01924,0,0.0190853,0.00636175,0.0190853,0.00636175,0.0190853,0.00636175,0.0190853,0.00636175
149,22542,1.038,1.63217,1.14899,0.01185,1.04882,0.67673,0.66912,0.6768,0.47988,0.67067,0.66246,0.66531,0.41372,1.1946,2.23621,1.34622,0.01914,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
150,22692.5,1.03264,1.62086,1.15158,0.01154,1.04567,0.67357,0.67487,0.67795,0.48041,0.67284,0.66088,0.66161,0.41483,1.19816,2.23448,1.33862,0.01921,0,0.0189367,0.00631225,0.0189367,0.00631225,0.0189367,0.00631225,0.0189367,0.00631225
151,22842.8,1.04421,1.62454,1.16333,0.01187,1.06188,0.7088,0.65595,0.67862,0.47987,0.69657,0.6533,0.66226,0.41443,1.19918,2.25231,1.35193,0.01913,0,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
152,22996.4,1.01978,1.61288,1.14824,0.01159,1.04089,0.6902,0.66751,0.68147,0.48177,0.68154,0.6589,0.66274,0.41482,1.19756,2.25328,1.35291,0.01916,0,0.0187882,0.00626275,0.0187882,0.00626275,0.0187882,0.00626275,0.0187882,0.00626275
153,23147.9,1.03013,1.59939,1.1306,0.01158,1.00937,0.70278,0.65554,0.68357,0.48281,0.69664,0.64652,0.66394,0.41422,1.19997,2.27704,1.34643,0.01907,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
154,23298.7,1.05683,1.63007,1.1719,0.01178,1.04147,0.70503,0.64759,0.68425,0.48224,0.70042,0.64183,0.66461,0.41472,1.20215,2.27925,1.3439,0.01907,0,0.0186397,0.00621325,0.0186397,0.00621325,0.0186397,0.00621325,0.0186397,0.00621325
155,23450.9,1.03231,1.59372,1.13835,0.01166,1.04254,0.69234,0.64762,0.6784,0.47959,0.69366,0.64252,0.66268,0.41344,1.19745,2.28497,1.34787,0.01902,0,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
156,23602.9,1.04235,1.61753,1.12114,0.01156,1.02621,0.68989,0.65681,0.68118,0.48317,0.68002,0.65462,0.66304,0.41533,1.18683,2.30856,1.34818,0.01886,0,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
157,23753.6,1.03274,1.65183,1.14634,0.01159,1.05137,0.6872,0.65446,0.67958,0.48267,0.67884,0.65238,0.6609,0.41529,1.18598,2.28839,1.35311,0.01874,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
158,23904.7,1.03038,1.61022,1.14608,0.01154,1.02971,0.68664,0.65282,0.67842,0.482,0.68198,0.6478,0.66006,0.41482,1.1888,2.29336,1.35698,0.01885,0,0.0183427,0.00611425,0.0183427,0.00611425,0.0183427,0.00611425,0.0183427,0.00611425
159,24059.2,1.02906,1.61031,1.12732,0.01162,1.01951,0.67395,0.6582,0.67608,0.48095,0.66544,0.65175,0.65882,0.41395,1.18471,2.27942,1.37496,0.01865,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
160,24208.8,1.02415,1.6062,1.13553,0.01142,1.02805,0.67493,0.6608,0.67909,0.48282,0.66487,0.65501,0.66192,0.41553,1.17832,2.29304,1.38463,0.01849,0,0.0181942,0.00606475,0.0181942,0.00606475,0.0181942,0.00606475,0.0181942,0.00606475
161,24359.5,1.02348,1.6199,1.13166,0.0117,1.03059,0.68381,0.66042,0.67729,0.48246,0.67576,0.65397,0.65951,0.4146,1.18591,2.27089,1.37415,0.01873,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
162,24514.1,1.0189,1.60145,1.12246,0.01129,1.01913,0.69831,0.64914,0.67757,0.48234,0.69208,0.64284,0.66036,0.41355,1.18774,2.26069,1.37404,0.01873,0,0.0180457,0.00601525,0.0180457,0.00601525,0.0180457,0.00601525,0.0180457,0.00601525
163,24667.5,1.02873,1.60428,1.12721,0.01154,1.01183,0.6725,0.66233,0.67593,0.48421,0.66695,0.65644,0.65935,0.41492,1.19133,2.24976,1.37194,0.01886,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
164,24825.6,1.0275,1.58974,1.11405,0.01132,1.00049,0.6941,0.65649,0.67522,0.48412,0.68781,0.6511,0.65928,0.41554,1.1942,2.28695,1.37185,0.01894,0,0.0178972,0.00596575,0.0178972,0.00596575,0.0178972,0.00596575,0.0178972,0.00596575
165,24982.4,1.02015,1.58144,1.11318,0.01152,0.99386,0.68042,0.66562,0.67586,0.48308,0.67865,0.65605,0.65808,0.41322,1.19584,2.28492,1.36843,0.01893,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
166,25135.2,1.00987,1.58248,1.08921,0.01146,0.96656,0.67338,0.66504,0.67573,0.48292,0.67057,0.65755,0.65869,0.41334,1.19701,2.28251,1.36111,0.01893,0,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
167,25287.8,1.00937,1.56802,1.10468,0.01128,0.99388,0.6718,0.66434,0.6745,0.48133,0.66659,0.6606,0.65912,0.41182,1.194,2.28638,1.37598,0.01885,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
168,25439.7,1.02447,1.5768,1.09176,0.01136,0.9814,0.66556,0.6694,0.6743,0.48182,0.66413,0.6686,0.66288,0.41258,1.19585,2.30839,1.37474,0.01891,0,0.0176003,0.00586675,0.0176003,0.00586675,0.0176003,0.00586675,0.0176003,0.00586675
169,25592.2,1.0176,1.5631,1.09898,0.01116,0.97855,0.66789,0.66296,0.67301,0.47993,0.66812,0.66327,0.6635,0.41235,1.1974,2.30096,1.37794,0.01903,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
170,25744.7,1.02695,1.61169,1.10788,0.01155,0.99326,0.69088,0.65499,0.67438,0.47977,0.67592,0.66244,0.65944,0.41085,1.20081,2.31853,1.37733,0.01914,0,0.0174518,0.00581725,0.0174518,0.00581725,0.0174518,0.00581725,0.0174518,0.00581725
171,25898.2,1.00566,1.55775,1.09235,0.01124,0.96344,0.68904,0.6548,0.67272,0.47863,0.68151,0.65903,0.6585,0.41015,1.19763,2.30804,1.38784,0.01908,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
172,26049.8,1.01393,1.57648,1.07536,0.01144,0.97752,0.69686,0.65257,0.67235,0.47821,0.69273,0.65126,0.66007,0.41121,1.19712,2.3062,1.39102,0.01906,0,0.0173032,0.00576775,0.0173032,0.00576775,0.0173032,0.00576775,0.0173032,0.00576775
173,26201.1,1.01134,1.56812,1.08479,0.01121,0.96202,0.69631,0.64717,0.67155,0.4794,0.69206,0.64737,0.66009,0.41305,1.19669,2.30786,1.3927,0.01909,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
174,26353.1,1.00606,1.56581,1.07042,0.01108,0.96884,0.69548,0.65173,0.67337,0.48106,0.69634,0.64899,0.66196,0.41415,1.20237,2.31039,1.38105,0.01922,0,0.0171547,0.00571825,0.0171547,0.00571825,0.0171547,0.00571825,0.0171547,0.00571825
175,26504.4,1.00389,1.55049,1.06626,0.01116,0.96541,0.69432,0.65194,0.67203,0.48001,0.69306,0.64929,0.65959,0.41243,1.20175,2.31615,1.38572,0.01921,0,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
176,26656.9,1.00329,1.56473,1.06576,0.01117,0.95715,0.69037,0.65972,0.67303,0.48211,0.68495,0.65482,0.65982,0.4125,1.19933,2.32339,1.39108,0.01913,0,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
177,26809.2,1.01389,1.55151,1.08399,0.0112,0.95075,0.69031,0.66174,0.67237,0.48051,0.68975,0.65546,0.66088,0.41248,1.20705,2.31391,1.38265,0.01927,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
178,26962,0.99936,1.52579,1.05509,0.01108,0.94409,0.68466,0.65916,0.67074,0.47991,0.68496,0.65762,0.66059,0.41262,1.2048,2.30959,1.39266,0.01922,0,0.0168578,0.00561925,0.0168578,0.00561925,0.0168578,0.00561925,0.0168578,0.00561925
179,27114.3,1.00076,1.54325,1.05862,0.01119,0.9498,0.69398,0.65414,0.67103,0.48105,0.69583,0.65286,0.66136,0.41369,1.20697,2.32263,1.39195,0.01927,0,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
180,27267,1.00091,1.53946,1.05689,0.01128,0.93741,0.69525,0.64972,0.67152,0.48123,0.69846,0.65063,0.66223,0.41305,1.20912,2.32506,1.39461,0.01935,0,0.0167092,0.00556975,0.0167092,0.00556975,0.0167092,0.00556975,0.0167092,0.00556975
181,27419.5,0.997,1.53055,1.04646,0.01098,0.93281,0.68406,0.65978,0.67294,0.48273,0.68556,0.65557,0.66133,0.41529,1.20674,2.32194,1.39343,0.01929,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
182,27571.3,1.01146,1.544,1.06366,0.0113,0.9458,0.68235,0.65794,0.67345,0.48262,0.68947,0.6489,0.66031,0.41554,1.20843,2.33322,1.3906,0.01932,0,0.0165607,0.00552025,0.0165607,0.00552025,0.0165607,0.00552025,0.0165607,0.00552025
183,27726.9,1.00731,1.55465,1.06038,0.01132,0.94228,0.69071,0.6562,0.67326,0.48234,0.68278,0.65527,0.65863,0.41635,1.20354,2.34426,1.39452,0.01921,0,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
184,27876.3,0.99263,1.53159,1.04935,0.01092,0.92376,0.69658,0.6549,0.67293,0.48188,0.69346,0.6501,0.65754,0.41523,1.20253,2.3542,1.40583,0.01921,0,0.0164122,0.00547075,0.0164122,0.00547075,0.0164122,0.00547075,0.0164122,0.00547075
185,28026.3,1.00641,1.54381,1.05708,0.01115,0.92963,0.68294,0.66921,0.67385,0.48213,0.67744,0.66382,0.65741,0.4149,1.20351,2.35313,1.40442,0.01925,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
