epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,3429.49,1.30165,2.32337,1.95856,0.01566,1.90493,0.57128,0.47993,0.50961,0.33075,0.5468,0.47028,0.49065,0.28752,1.39066,2.48073,1.81396,0.02374,0,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
23,3580.15,1.293,2.26358,1.95173,0.01545,1.88005,0.48284,0.51686,0.49147,0.31694,0.47904,0.50197,0.46852,0.27207,1.38767,2.44144,1.81281,0.02407,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
24,3729.87,1.29225,2.25494,1.94907,0.01581,1.86902,0.49775,0.53052,0.5029,0.3295,0.49343,0.51242,0.48685,0.28606,1.34117,2.41325,1.77921,0.02278,0,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
25,3880.13,1.28254,2.25295,1.92095,0.01552,1.85824,0.52727,0.50558,0.49656,0.33504,0.5262,0.49378,0.48267,0.28662,1.34265,2.41547,1.80926,0.02252,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
26,4030.48,1.2761,2.25683,1.91654,0.01563,1.87057,0.51565,0.52574,0.5063,0.32871,0.50762,0.52675,0.49382,0.28274,1.36819,2.38666,1.77764,0.02312,0,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
27,4180.98,1.28101,2.2449,1.8859,0.01543,1.7951,0.52572,0.51485,0.49507,0.31979,0.5347,0.49187,0.48184,0.28065,1.40053,2.42664,1.842,0.02422,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
28,4331.21,1.26761,2.21655,1.84577,0.01548,1.78622,0.52239,0.54809,0.52685,0.34361,0.51292,0.53984,0.50826,0.29708,1.38187,2.4086,1.71046,0.02361,0,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175
29,4480.77,1.2583,2.1968,1.86379,0.01514,1.77345,0.49127,0.5331,0.50701,0.32524,0.4823,0.5236,0.48544,0.27939,1.38761,2.4078,1.80041,0.02428,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
30,4632.23,1.26055,2.20941,1.84235,0.01497,1.74147,0.53176,0.5678,0.5369,0.34501,0.53403,0.5549,0.52076,0.29589,1.36352,2.40928,1.71207,0.02319,0,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,4783.27,1.26387,2.20597,1.8714,0.01515,1.75039,0.56941,0.55684,0.55627,0.37356,0.57371,0.55112,0.54328,0.31648,1.29513,2.29005,1.64776,0.02165,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,4933.52,1.25877,2.18287,1.83092,0.01517,1.74306,0.58432,0.48474,0.52833,0.34716,0.56027,0.49679,0.5119,0.30187,1.35493,2.42032,1.81635,0.02356,0,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,5083.64,1.25438,2.17358,1.80978,0.01498,1.72044,0.54878,0.5382,0.53714,0.3588,0.54564,0.53538,0.52491,0.30963,1.30613,2.36555,1.6746,0.02163,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,5233.78,1.24805,2.16929,1.79592,0.01499,1.73245,0.51682,0.57765,0.54904,0.36714,0.51238,0.56721,0.53078,0.31649,1.3107,2.31612,1.66959,0.02232,0,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,5384.17,1.24104,2.158,1.80645,0.01491,1.74477,0.53329,0.57325,0.56478,0.37505,0.53128,0.56572,0.54936,0.32592,1.28327,2.25384,1.62619,0.02102,0,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,5534.52,1.22212,2.13471,1.78164,0.01458,1.69845,0.55722,0.54747,0.55824,0.37498,0.58447,0.51515,0.53915,0.32736,1.27633,2.34413,1.64014,0.02102,0,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,5685.36,1.24038,2.15347,1.78403,0.01493,1.70899,0.52406,0.51549,0.50515,0.33735,0.52109,0.5046,0.49535,0.29072,1.33914,2.39676,1.84424,0.02209,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,5835.42,1.24203,2.15099,1.76321,0.0146,1.67532,0.55828,0.54298,0.54959,0.36429,0.54705,0.54164,0.53602,0.31626,1.31755,2.28649,1.67502,0.02224,0,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,5985.78,1.24253,2.14931,1.76008,0.01478,1.72577,0.61409,0.5225,0.56908,0.38006,0.60602,0.5122,0.55111,0.32828,1.2573,2.2422,1.63707,0.02096,0,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,6136.45,1.23464,2.11786,1.73429,0.01449,1.67923,0.56665,0.56791,0.5708,0.38127,0.56125,0.56214,0.56099,0.33426,1.3095,2.24699,1.57138,0.02181,0,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,6287.74,1.2317,2.10626,1.69693,0.01444,1.65034,0.5421,0.58201,0.56243,0.37348,0.54473,0.57332,0.54744,0.32143,1.32349,2.27537,1.62696,0.0222,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,6438.19,1.214,2.07852,1.72356,0.01446,1.64836,0.55129,0.56741,0.56675,0.37432,0.53936,0.55043,0.54786,0.32811,1.30626,2.26792,1.60666,0.02185,0,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
